Title: Atomic Transition Probabilities for UV and Blue Lines of Fe II 
       and Abundance Determinations in the Photospheres of the Sun and 
       Metal-Poor Star HD 84937
Author: Den Hartog E.A., Lawler J.E., Sneden C., Cowan J.J., Brukhovesky A.
Table: Experimental Atomic Transition Probabilities for 131 lines of Fe II
================================================================================
Byte-by-byte Description of file: apjsab322et6_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label    Explanations
--------------------------------------------------------------------------------
   1-  8 F8.3   0.1nm    WaveAir  Wavelength in air; Angstroms (1)
  10- 19 F10.4  cm-1     UpLev    Upper level energy (1)
  21- 23 F3.1   ---      UpJ      Upper level J (1)
  25- 34 F10.4  cm-1     LowLev   Lower level energy (1)
  36- 38 F3.1   ---      LowJ     Lower level J (1)
  40- 46 F7.3   10+6/s   TranP    Transition probability
  48- 53 F6.3   10+6/s e_TranP    Total uncertainty in TranP
  55- 59 F5.2   [-]      log(gf)  Log of degeneracy times oscillator strength
  61- 64 F4.2   [-]    e_log(gf)  Uncertainty in log(gf)
--------------------------------------------------------------------------------
Note (1): Wavelengths and energy levels from 
          Nave & Johansson (2013) [2013ApJS..204....1N].
--------------------------------------------------------------------------------
2249.178 44446.9051 3.5     0.0000 4.5   2.58   0.26  -1.81 0.04
2250.175 45289.8248 1.5   862.6118 1.5   1.40   0.20  -2.37 0.06
2250.935 45079.9019 2.5   667.6829 2.5   2.57   0.22  -1.93 0.04
2251.555 44784.7859 2.5   384.7872 3.5   0.70   0.08  -2.49 0.05
2253.126 44753.8179 3.5   384.7872 3.5   3.48   0.33  -1.68 0.04
2255.987 45289.8248 1.5   977.0498 0.5   0.69   0.09  -2.68 0.05
2260.079 44232.5398 4.5     0.0000 4.5   2.58   0.24  -1.70 0.04
2260.859 45079.9019 2.5   862.6118 1.5   1.79   0.17  -2.09 0.04
2262.687 45044.1916 1.5   862.6118 1.5   1.85   0.19  -2.25 0.04
2265.994 44784.7859 2.5   667.6829 2.5   0.74   0.08  -2.46 0.04
2267.586 44753.8179 3.5   667.6829 2.5   2.88   0.27  -1.75 0.04
2279.915 44232.5398 4.5   384.7872 3.5   4.31   0.36  -1.48 0.03
2283.484 44446.9051 3.5   667.6829 2.5   0.61   0.07  -2.42 0.05
2327.395 43620.9842 1.5   667.6829 2.5  63.5    2.2   -0.68 0.01
2331.308 44753.8179 3.5  1872.5998 4.5  27.7    1.8   -0.75 0.03
2332.799 43238.6066 2.5   384.7872 3.5 116.7    3.3   -0.25 0.01
2338.007 43620.9842 1.5   862.6118 1.5 108.6    3.7   -0.45 0.01
